	Autor	Werk	year	vis_id
1	Ahlefeld, Charlotte von	Erna	1819	AhlefeldCharlottevon_Erna
0	Ahlefeld, Charlotte von	Marie Müller	1799	AhlefeldCharlottevon_MarieMüller
2	Alexis, Willibald	Die Hosen des Herrn von Bredow	1846	AlexisWillibald_DieHosendesHerrnvonBredow
3	Alexis, Willibald	Ruhe ist die erste Bürgerpflicht	1852	AlexisWillibald_RuheistdieersteBürgerpflicht
4	Anonym	Schwester Monika	1815	Anonym_SchwesterMonika
5	Anzengruber, Ludwig	Der Sternsteinhof	1885	AnzengruberLudwig_DerSternsteinhof
8	Arnim, Bettina von	Clemens Brentanos Frühlingskranz	1844	ArnimBettinavon_ClemensBrentanosFrühlingskranz
7	Arnim, Bettina von	Die Günderode	1840	ArnimBettinavon_DieGünderode
6	Arnim, Bettina von	Goethes Briefwechsel mit einem Kinde	1835	ArnimBettinavon_GoethesBriefwechselmiteinemKinde
9	Arnim, Ludwig Achim von	Armut, Reichtum, Schuld und Buße der Gräfin Dolores	1810	ArnimLudwigAchimvon_ArmutReichtumSchuldundBußederGräfinDolores
10	Aston, Louise	Aus dem Leben einer Frau	1847	AstonLouise_AusdemLebeneinerFrau
11	Aston, Louise	Lydia	1848	AstonLouise_Lydia
12	Aston, Louise	Revolution und Contrerevolution	1849	AstonLouise_RevolutionundContrerevolution
13	Auerbach, Berthold	Barfüßele	1856	AuerbachBerthold_Barfüßele
14	Bahr, Hermann	Die gute Schule	1890	BahrHermann_DieguteSchule
15	Ball, Hugo	Flammetti	1918	BallHugo_Flammetti
17	Balzac, Honoré de	Glanz und Elend der Kurtisanen	1838	BalzacHonoréde_GlanzundElendderKurtisanen
16	Balzac, Honoré de	Vater Goriot	1834	BalzacHonoréde_VaterGoriot
18	Bernhardi, Sophie	Evremont	1822	BernhardiSophie_Evremont
19	Bierbaum, Otto Julius	Stilpe. Ein Roman aus der Froschperspektive	1897	BierbaumOttoJulius_Stilpe.EinRomanausderFroschperspektive
20	Bleibtreu, Karl	Größenwahn	1888	BleibtreuKarl_Größenwahn
21	Boy-Ed, Ida	Fanny Förster	1889	Boy-EdIda_FannyFörster
22	Boy-Ed, Ida	Vor der Ehe	1915	Boy-EdIda_VorderEhe
23	Braun, Lily	Lebenssucher	1915	BraunLily_Lebenssucher
24	Brentano, Clemens	Godwi oder Das steinerne Bild der Mutter	1801	BrentanoClemens_GodwioderDassteinerneBildderMutter
25	Brontë, Charlotte	Jane Eyre	1847	BrontëCharlotte_JaneEyre
